a: 5330,  737, 2263, 1236, 1074,  680
b: 1519,  909,   81,  335,  243,   59
c: 1920,  922,  176,  392,  411,  127
d: 2298,  685,   84,  390,  471,  823
e: 5705,  303, 1628,  882, 2327, 1522
f:  990,  598,   24,  178,  233,   82
g: 1543,  638,   76,  364,  423,  143
h: 1708,  489,  546,  120,  235,  370
i: 3589,  165, 1383, 1051,  880,  280
j:  289,  202,   11,   46,   29,    3
k: 1444,  376,   95,  272,  503,  259
l: 3114,  577,  699,  848,  771,  476
m: 1868,  693,  188,  511,  402,  182
n: 2787,  325,  345,  964,  788,  530
o: 3911,  262, 2096,  993,  698,  389
p: 1885,  859,  231,  364,  418,  147
q:  111,   78,   15,   13,    2,    4
r: 3909,  628,  940, 1198,  719,  673
s: 5936, 1565,   93,  533,  516, 3958
t: 3033,  815,  239,  616,  898,  727
u: 2436,  189, 1187,  667,  401,   67
v:  674,  242,   52,  240,  156,    4
w: 1028,  413,  163,  271,  128,   64
x:  287,   16,   57,  133,   12,   70
y: 2031,  181,  271,  213,  108, 1301
z:  391,  105,   29,  142,  126,   32
